customer_id,order_id,product_id,seller_id,price,freight_value,customer_city,customer_state,order_date,discount_amount,extra_feature
cust_3372,order_3372,prod_3,seller_10,27.74,48.4,sao paulo,RJ,2018-01-03 08:12:00,4.74,
cust_3373,order_3373,prod_94,seller_15,341.91,24.14,rio de janeiro,SP,2018-01-03 08:13:00,11.16,VAL770
cust_3374,order_3374,prod_80,seller_15,468.55,5.95,curitiba,PR,2018-01-03 08:14:00,47.53,
cust_3375,order_3375,prod_88,seller_12,454.67,29.33,rio de janeiro,SP,2018-01-03 08:15:00,38.59,VAL440
cust_3376,order_3376,prod_36,seller_8,110.8,35.43,rio de janeiro,SP,2018-01-03 08:16:00,0.22,VAL849
cust_3377,order_3377,prod_56,seller_15,373.9,25.52,rio de janeiro,SP,2018-01-03 08:17:00,68.45,VAL757
cust_3378,order_3378,prod_46,seller_10,398.6,46.77,curitiba,PR,2018-01-03 08:18:00,36.27,VAL350
cust_3379,order_3379,prod_48,seller_13,433.54,45.59,rio de janeiro,RJ,2018-01-03 08:19:00,82.74,
cust_3380,order_3380,prod_59,seller_12,137.2,11.25,curitiba,SP,2018-01-03 08:20:00,7.87,VAL925
cust_3381,order_3381,prod_45,seller_9,230.91,8.6,curitiba,SP,2018-01-03 08:21:00,40.01,
cust_3382,order_3382,prod_77,seller_3,118.54,19.05,curitiba,RJ,2018-01-03 08:22:00,21.87,
cust_3383,order_3383,prod_6,seller_6,21.91,32.37,curitiba,PR,2018-01-03 08:23:00,2.44,VAL340
cust_3384,order_3384,prod_20,seller_18,332.92,32.07,curitiba,PR,2018-01-03 08:24:00,13.5,VAL808
cust_3385,order_3385,prod_89,seller_10,221.42,17.22,sao paulo,RJ,2018-01-03 08:25:00,30.35,
cust_3386,order_3386,prod_88,seller_13,131.58,47.8,curitiba,RJ,2018-01-03 08:26:00,14.45,
cust_3387,order_3387,prod_81,seller_5,425.08,18.83,curitiba,PR,2018-01-03 08:27:00,80.3,
cust_3388,order_3388,prod_37,seller_14,252.88,41.19,sao paulo,PR,2018-01-03 08:28:00,22.22,
cust_3389,order_3389,prod_46,seller_10,497.38,42.44,curitiba,SP,2018-01-03 08:29:00,26.71,
cust_3390,order_3390,prod_3,seller_5,398.75,9.43,sao paulo,PR,2018-01-03 08:30:00,11.03,VAL595
cust_3391,order_3391,prod_28,seller_3,435.91,15.46,rio de janeiro,RJ,2018-01-03 08:31:00,60.91,VAL676
cust_3392,order_3392,prod_72,seller_8,388.93,14.68,curitiba,PR,2018-01-03 08:32:00,75.77,
cust_3393,order_3393,prod_34,seller_11,61.9,46.38,sao paulo,SP,2018-01-03 08:33:00,0.35,
cust_3394,order_3394,prod_48,seller_6,41.86,20.8,rio de janeiro,SP,2018-01-03 08:34:00,6.2,VAL347
cust_3395,order_3395,prod_13,seller_5,458.39,42.64,curitiba,PR,2018-01-03 08:35:00,84.98,VAL252
cust_3396,order_3396,prod_50,seller_6,77.72,26.51,rio de janeiro,PR,2018-01-03 08:36:00,1.16,VAL489
cust_3397,order_3397,prod_72,seller_6,201.7,25.57,curitiba,SP,2018-01-03 08:37:00,4.44,VAL995
cust_3398,order_3398,prod_57,seller_15,308.86,45.65,sao paulo,PR,2018-01-03 08:38:00,42.74,
cust_3399,order_3399,prod_56,seller_10,113.83,24.84,curitiba,SP,2018-01-03 08:39:00,14.75,
cust_3400,order_3400,prod_91,seller_9,120.39,38.52,curitiba,PR,2018-01-03 08:40:00,1.66,
cust_3401,order_3401,prod_24,seller_4,238.46,24.1,curitiba,SP,2018-01-03 08:41:00,39.8,
cust_3402,order_3402,prod_30,seller_11,186.84,9.58,sao paulo,SP,2018-01-03 08:42:00,19.56,
cust_3403,order_3403,prod_62,seller_19,341.52,7.39,curitiba,PR,2018-01-03 08:43:00,61.97,VAL924
cust_3404,order_3404,prod_48,seller_15,46.79,14.37,rio de janeiro,PR,2018-01-03 08:44:00,8.22,VAL914
cust_3405,order_3405,prod_97,seller_9,249.49,37.5,rio de janeiro,SP,2018-01-03 08:45:00,40.54,
cust_3406,order_3406,prod_6,seller_6,95.39,21.81,rio de janeiro,SP,2018-01-03 08:46:00,9.84,VAL763
cust_3407,order_3407,prod_13,seller_7,307.3,25.43,rio de janeiro,RJ,2018-01-03 08:47:00,15.47,
cust_3408,order_3408,prod_34,seller_1,66.94,9.58,rio de janeiro,SP,2018-01-03 08:48:00,6.77,
cust_3409,order_3409,prod_46,seller_1,106.84,33.04,rio de janeiro,PR,2018-01-03 08:49:00,2.15,VAL741
cust_3410,order_3410,prod_89,seller_15,403.91,41.16,sao paulo,PR,2018-01-03 08:50:00,53.22,VAL976
cust_3411,order_3411,prod_49,seller_17,125.23,33.11,curitiba,PR,2018-01-03 08:51:00,3.36,VAL877
cust_3412,order_3412,prod_44,seller_19,371.16,49.31,sao paulo,SP,2018-01-03 08:52:00,37.95,VAL196
cust_3413,order_3413,prod_17,seller_12,143.8,5.74,sao paulo,SP,2018-01-03 08:53:00,1.56,VAL164
cust_3414,order_3414,prod_43,seller_18,125.16,5.71,rio de janeiro,PR,2018-01-03 08:54:00,7.5,VAL722
cust_3415,order_3415,prod_53,seller_8,156.59,27.5,rio de janeiro,SP,2018-01-03 08:55:00,7.27,
cust_3416,order_3416,prod_58,seller_5,441.66,16.99,rio de janeiro,RJ,2018-01-03 08:56:00,54.77,VAL261
cust_3417,order_3417,prod_60,seller_5,204.61,35.89,curitiba,RJ,2018-01-03 08:57:00,32.2,VAL608
cust_3418,order_3418,prod_43,seller_5,129.44,40.69,sao paulo,PR,2018-01-03 08:58:00,1.48,VAL802
cust_3419,order_3419,prod_16,seller_15,272.95,9.61,sao paulo,SP,2018-01-03 08:59:00,46.42,VAL963
cust_3420,order_3420,prod_16,seller_1,198.96,46.28,rio de janeiro,PR,2018-01-03 09:00:00,34.25,VAL190
cust_3421,order_3421,prod_16,seller_18,397.2,6.35,curitiba,PR,2018-01-03 09:01:00,27.19,
cust_3422,order_3422,prod_62,seller_15,495.32,35.98,rio de janeiro,SP,2018-01-03 09:02:00,65.28,VAL434
cust_3423,order_3423,prod_85,seller_8,268.02,22.3,rio de janeiro,RJ,2018-01-03 09:03:00,21.58,VAL628
cust_3424,order_3424,prod_88,seller_14,231.36,35.03,rio de janeiro,SP,2018-01-03 09:04:00,7.13,
cust_3425,order_3425,prod_31,seller_3,178.09,9.39,curitiba,RJ,2018-01-03 09:05:00,18.83,VAL264
cust_3426,order_3426,prod_8,seller_9,486.94,47.17,rio de janeiro,SP,2018-01-03 09:06:00,8.41,
cust_3427,order_3427,prod_63,seller_3,246.81,47.18,curitiba,SP,2018-01-03 09:07:00,43.36,VAL967
cust_3428,order_3428,prod_4,seller_3,97.22,28.37,curitiba,RJ,2018-01-03 09:08:00,17.97,
cust_3429,order_3429,prod_63,seller_1,484.92,27.93,sao paulo,RJ,2018-01-03 09:09:00,79.68,VAL569
cust_3430,order_3430,prod_38,seller_16,480.83,33.57,sao paulo,SP,2018-01-03 09:10:00,54.1,
cust_3431,order_3431,prod_84,seller_15,223.51,31.1,curitiba,SP,2018-01-03 09:11:00,24.93,VAL404
cust_3432,order_3432,prod_62,seller_17,180.61,29.46,sao paulo,SP,2018-01-03 09:12:00,35.57,
cust_3433,order_3433,prod_74,seller_19,343.41,31.51,rio de janeiro,PR,2018-01-03 09:13:00,17.03,VAL244
cust_3434,order_3434,prod_41,seller_19,416.17,43.64,sao paulo,RJ,2018-01-03 09:14:00,6.32,
cust_3435,order_3435,prod_84,seller_19,254.28,32.5,rio de janeiro,SP,2018-01-03 09:15:00,28.58,
cust_3436,order_3436,prod_52,seller_1,172.1,13.81,sao paulo,SP,2018-01-03 09:16:00,11.32,VAL574
cust_3437,order_3437,prod_62,seller_15,157.68,46.13,rio de janeiro,PR,2018-01-03 09:17:00,10.17,
cust_3438,order_3438,prod_36,seller_14,170.03,14.72,curitiba,SP,2018-01-03 09:18:00,0.24,VAL774
cust_3439,order_3439,prod_45,seller_4,67.84,12.43,curitiba,PR,2018-01-03 09:19:00,8.09,VAL767
cust_3440,order_3440,prod_84,seller_3,391.52,49.87,curitiba,RJ,2018-01-03 09:20:00,20.67,VAL165
cust_3441,order_3441,prod_39,seller_19,61.43,14.6,sao paulo,SP,2018-01-03 09:21:00,2.31,VAL984
cust_3442,order_3442,prod_3,seller_17,205.17,9.5,rio de janeiro,SP,2018-01-03 09:22:00,1.66,VAL523
cust_3443,order_3443,prod_38,seller_7,419.12,30.29,sao paulo,SP,2018-01-03 09:23:00,30.54,VAL799
cust_3444,order_3444,prod_39,seller_2,208.01,42.22,curitiba,PR,2018-01-03 09:24:00,36.57,VAL598
cust_3445,order_3445,prod_42,seller_7,154.43,7.73,curitiba,RJ,2018-01-03 09:25:00,10.4,
cust_3446,order_3446,prod_7,seller_1,474.64,27.05,sao paulo,RJ,2018-01-03 09:26:00,64.46,
cust_3447,order_3447,prod_13,seller_14,72.01,8.08,rio de janeiro,SP,2018-01-03 09:27:00,10.9,
cust_3448,order_3448,prod_33,seller_8,443.58,24.29,rio de janeiro,PR,2018-01-03 09:28:00,29.11,
cust_3449,order_3449,prod_42,seller_1,40.42,20.48,rio de janeiro,SP,2018-01-03 09:29:00,6.64,
cust_3450,order_3450,prod_3,seller_19,212.63,11.17,rio de janeiro,RJ,2018-01-03 09:30:00,29.42,
cust_3451,order_3451,prod_39,seller_16,319.54,46.9,sao paulo,PR,2018-01-03 09:31:00,35.74,
cust_3452,order_3452,prod_32,seller_18,191.32,33.57,rio de janeiro,PR,2018-01-03 09:32:00,0.04,
cust_3453,order_3453,prod_4,seller_19,271.96,42.94,rio de janeiro,RJ,2018-01-03 09:33:00,1.91,VAL255
cust_3454,order_3454,prod_25,seller_1,109.96,45.77,curitiba,PR,2018-01-03 09:34:00,21.79,
cust_3455,order_3455,prod_28,seller_15,288.83,46.86,curitiba,SP,2018-01-03 09:35:00,45.19,VAL517
cust_3456,order_3456,prod_15,seller_15,75.93,38.67,curitiba,PR,2018-01-03 09:36:00,14.24,
cust_3457,order_3457,prod_75,seller_15,400.09,18.81,sao paulo,RJ,2018-01-03 09:37:00,72.2,VAL414
cust_3458,order_3458,prod_8,seller_6,296.06,42.3,curitiba,RJ,2018-01-03 09:38:00,1.21,VAL794
cust_3459,order_3459,prod_58,seller_8,246.15,28.41,rio de janeiro,SP,2018-01-03 09:39:00,38.98,
cust_3460,order_3460,prod_66,seller_18,36.79,17.22,rio de janeiro,PR,2018-01-03 09:40:00,3.32,VAL292
cust_3461,order_3461,prod_80,seller_2,254.89,22.36,curitiba,PR,2018-01-03 09:41:00,40.25,VAL846
cust_3462,order_3462,prod_55,seller_13,286.15,18.56,curitiba,PR,2018-01-03 09:42:00,0.38,VAL713
cust_3463,order_3463,prod_54,seller_16,140.18,25.98,sao paulo,SP,2018-01-03 09:43:00,8.08,
cust_3464,order_3464,prod_76,seller_16,342.02,40.16,rio de janeiro,RJ,2018-01-03 09:44:00,51.39,
cust_3465,order_3465,prod_85,seller_12,47.61,26.82,curitiba,PR,2018-01-03 09:45:00,7.55,
cust_3466,order_3466,prod_21,seller_15,112.26,17.05,rio de janeiro,RJ,2018-01-03 09:46:00,13.91,
cust_3467,order_3467,prod_79,seller_18,371.4,8.93,sao paulo,PR,2018-01-03 09:47:00,22.38,VAL697
cust_3468,order_3468,prod_46,seller_15,82.14,43.51,rio de janeiro,PR,2018-01-03 09:48:00,5.1,VAL712
cust_3469,order_3469,prod_10,seller_3,130.32,23.78,curitiba,SP,2018-01-03 09:49:00,25.2,VAL179
cust_3470,order_3470,prod_61,seller_5,328.92,24.89,sao paulo,RJ,2018-01-03 09:50:00,28.89,VAL776
cust_3471,order_3471,prod_97,seller_6,367.13,39.37,curitiba,SP,2018-01-03 09:51:00,32.83,
cust_3472,order_3472,prod_14,seller_7,35.23,43.24,curitiba,RJ,2018-01-03 09:52:00,3.89,
cust_3473,order_3473,prod_2,seller_7,72.03,28.0,curitiba,RJ,2018-01-03 09:53:00,5.9,
cust_3474,order_3474,prod_91,seller_5,228.6,33.46,sao paulo,PR,2018-01-03 09:54:00,25.27,VAL711
cust_3475,order_3475,prod_60,seller_13,300.47,15.76,sao paulo,PR,2018-01-03 09:55:00,25.98,VAL557
cust_3476,order_3476,prod_22,seller_3,232.35,47.08,rio de janeiro,RJ,2018-01-03 09:56:00,38.42,VAL129
cust_3477,order_3477,prod_79,seller_15,327.06,30.56,rio de janeiro,RJ,2018-01-03 09:57:00,59.46,
cust_3478,order_3478,prod_39,seller_13,380.44,37.38,rio de janeiro,RJ,2018-01-03 09:58:00,70.92,VAL904
cust_3479,order_3479,prod_33,seller_19,475.28,10.14,curitiba,RJ,2018-01-03 09:59:00,53.64,
cust_3480,order_3480,prod_29,seller_1,181.44,33.66,curitiba,RJ,2018-01-03 10:00:00,16.04,VAL910
cust_3481,order_3481,prod_60,seller_6,89.92,21.6,sao paulo,PR,2018-01-03 10:01:00,12.68,VAL388
cust_3482,order_3482,prod_14,seller_18,139.4,25.25,curitiba,PR,2018-01-03 10:02:00,23.37,VAL270
cust_3483,order_3483,prod_36,seller_10,82.6,35.7,sao paulo,PR,2018-01-03 10:03:00,9.3,VAL574
cust_3484,order_3484,prod_31,seller_11,203.18,40.83,rio de janeiro,SP,2018-01-03 10:04:00,28.44,VAL542
cust_3485,order_3485,prod_7,seller_1,437.56,20.72,sao paulo,RJ,2018-01-03 10:05:00,65.61,
cust_3486,order_3486,prod_76,seller_15,180.06,44.3,rio de janeiro,RJ,2018-01-03 10:06:00,24.36,
cust_3487,order_3487,prod_1,seller_5,82.92,14.85,curitiba,RJ,2018-01-03 10:07:00,12.37,VAL747
cust_3488,order_3488,prod_96,seller_19,266.09,30.33,rio de janeiro,RJ,2018-01-03 10:08:00,11.1,
cust_3489,order_3489,prod_10,seller_8,496.05,11.81,curitiba,PR,2018-01-03 10:09:00,49.44,VAL939
cust_3490,order_3490,prod_36,seller_4,102.21,18.02,sao paulo,RJ,2018-01-03 10:10:00,12.03,
cust_3491,order_3491,prod_10,seller_12,391.16,45.29,rio de janeiro,SP,2018-01-03 10:11:00,0.19,
cust_3492,order_3492,prod_37,seller_10,413.45,5.52,rio de janeiro,RJ,2018-01-03 10:12:00,70.78,
cust_3493,order_3493,prod_61,seller_9,206.66,46.2,curitiba,PR,2018-01-03 10:13:00,25.21,
cust_3494,order_3494,prod_9,seller_19,313.58,19.78,curitiba,SP,2018-01-03 10:14:00,8.1,VAL603
cust_3495,order_3495,prod_53,seller_7,221.86,36.31,rio de janeiro,SP,2018-01-03 10:15:00,36.22,VAL579
cust_3496,order_3496,prod_77,seller_8,138.54,9.13,sao paulo,PR,2018-01-03 10:16:00,19.87,VAL392
cust_3497,order_3497,prod_46,seller_12,218.8,33.86,rio de janeiro,SP,2018-01-03 10:17:00,33.18,VAL211
cust_3498,order_3498,prod_12,seller_4,56.69,45.93,sao paulo,RJ,2018-01-03 10:18:00,4.44,
cust_3499,order_3499,prod_69,seller_16,356.41,29.98,rio de janeiro,PR,2018-01-03 10:19:00,60.89,
cust_3500,order_3500,prod_19,seller_5,416.3,21.3,sao paulo,SP,2018-01-03 10:20:00,34.47,VAL786
cust_3501,order_3501,prod_2,seller_5,160.63,40.71,rio de janeiro,RJ,2018-01-03 10:21:00,18.33,VAL715
cust_3502,order_3502,prod_44,seller_1,287.57,37.07,sao paulo,SP,2018-01-03 10:22:00,0.04,VAL441
cust_3503,order_3503,prod_27,seller_7,123.75,10.3,sao paulo,SP,2018-01-03 10:23:00,15.96,
cust_3504,order_3504,prod_3,seller_12,72.46,34.96,sao paulo,SP,2018-01-03 10:24:00,10.41,
cust_3505,order_3505,prod_77,seller_14,335.17,34.91,curitiba,SP,2018-01-03 10:25:00,38.02,
